stock,period,count_nomiss,mean_catch,upper_bound,lower_bound
CC/GOM Yellowtail Flounder,Post2010,13,.68161595,.91693842,.3123253
CC/GOM Yellowtail Flounder,Pre2010,5,.53271818,.64615387,.34637269
GB Cod,Post2010,13,.77290058,1.5508219,.35468009
GB Cod,Pre2010,13,1.3004564,2.317755,.32126784
GB Haddock,Post2010,13,.12389158,.34753168,.030505033
GB Haddock,Pre2010,5,.34333885,.49960908,.16642028
GB Winter Flounder,Post2010,13,.55227542,.93711048,.34159747
GB Winter Flounder,Pre2010,5,.68196005,.86526948,.51558602
GB Yellowtail Flounder,Post2010,13,.36379561,.79304606,.046601944
GB Yellowtail Flounder,Pre2010,13,.76144433,1.1185321,.38324761
GOM Cod,Post2010,13,.79392356,1.1620252,.034880456
GOM Cod,Pre2010,13,1.9219975,3.7155871,.65464038
GOM Haddock,Post2010,13,.54269999,.87100005,.33092532
GOM Haddock,Pre2010,13,.54215014,1.1730731,.059678905
GOM Winter Flounder,Post2010,13,.39198974,.83766234,.23153846
GOM Winter Flounder,Pre2010,2,.37962568,.63852245,.12072893
Halibut,Post2010,13,.7908569,1.0515463,.4628866
Northern Windowpane,Post2010,13,1.0604292,1.9451389,.47288135
Northern Windowpane,Pre2010,5,.12737073,.27506426,.0034423408
Ocean Pout,Post2010,13,.40563494,.66867471,.18193549
Ocean Pout,Pre2010,4,.06561859,.078947365,.051948052
Plaice,Post2010,13,.64076811,.9788664,.20976666
Plaice,Pre2010,13,.20834662,.44617298,.050003026
Pollock,Post2010,13,.30218884,.56068289,.093435243
Pollock,Pre2010,13,.39387572,1.0694926,.1499839
Redfish,Post2010,13,.43602008,.59158665,.29987544
Redfish,Pre2010,13,.1443224,.57037377,.0099823633
SNE/MA Winter Flounder,Post2010,13,.53972828,.79732978,.33390558
SNE/MA Winter Flounder,Pre2010,4,.43770808,.62756956,.2739726
SNE/MA Yellowtail Flounder,Post2010,13,.40103644,.80327618,.076190479
SNE/MA Yellowtail Flounder,Pre2010,13,.75696665,1.4164619,.07114026
Southern Windowpane,Post2010,13,1.0686961,2.3773334,.32210243
Southern Windowpane,Pre2010,5,.32020283,.50602412,.10035843
White Hake,Post2010,13,.70575166,.96733588,.35829616
White Hake,Pre2010,13,.38463795,1.100951,.08998473
Witch Flounder,Post2010,13,.82590574,1.0437641,.59957564
Witch Flounder,Pre2010,13,.20436129,.81488043,.069993518
Wolffish,Post2010,13,.16154407,.42857143,.01038961
