gffishingyear,q_fy,stockcode,stock_string,spstock2,live_priceGDP,fGDPtoSFD,proportion_observed
2010,1,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.5320458,1.1737398,.23815824
2010,1,3,GBW Cod,codGB,1.539098,1.1737398,.25561795
2010,1,5,GBW Haddock,haddockGB,1.0537214,1.1737398,.29899144
2010,1,6,GB Winter Flounder,winterflounderGB,1.8205079,1.1737398,.33972391
2010,1,7,GB Yellowtail Flounder,yellowtailflounderGB,1.3811414,1.1737398,.21618234
2010,1,8,GOM Cod,codGOM,1.7645446,1.1737398,.32632491
2010,1,9,GOM Haddock,haddockGOM,1.7428148,1.1737398,.26893097
2010,1,10,GOM Winter Flounder,winterflounderGOM,1.9804101,1.1737398,.26022437
2010,1,11,Plaice,americanplaiceflounder,1.3285644,1.1737398,.32582757
2010,1,12,Pollock,pollock,.98653275,1.1737398,.33487096
2010,1,13,Redfish,redfish,.48644093,1.1737398,.32553211
2010,1,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.8366426,1.1737398,.32201687
2010,1,15,White Hake,whitehake,1.0250251,1.1737398,.36064515
2010,1,16,Witch Flounder,witchflounder,2.5223088,1.1737398,.30104908
2010,1,17,SNEMA Winter Flounder,,1.3264468,1.1737398,.26652679
2010,2,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.5477469,1.1737398,.23815824
2010,2,3,GBW Cod,codGB,1.794516,1.1737398,.25561795
2010,2,5,GBW Haddock,haddockGB,1.0952585,1.1737398,.29899144
2010,2,6,GB Winter Flounder,winterflounderGB,2.1499963,1.1737398,.33972391
2010,2,7,GB Yellowtail Flounder,yellowtailflounderGB,1.371708,1.1737398,.21618234
2010,2,8,GOM Cod,codGOM,1.9577495,1.1737398,.32632491
2010,2,9,GOM Haddock,haddockGOM,1.2026191,1.1737398,.26893097
2010,2,10,GOM Winter Flounder,winterflounderGOM,2.0257154,1.1737398,.26022437
2010,2,11,Plaice,americanplaiceflounder,1.2786405,1.1737398,.32582757
2010,2,12,Pollock,pollock,.77813536,1.1737398,.33487096
2010,2,13,Redfish,redfish,.50740969,1.1737398,.32553211
2010,2,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.5909935,1.1737398,.32201687
2010,2,15,White Hake,whitehake,.98525584,1.1737398,.36064515
2010,2,16,Witch Flounder,witchflounder,2.6362894,1.1737398,.30104908
2010,2,17,SNEMA Winter Flounder,,2.1294165,1.1737398,.26652679
2010,3,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.4824855,1.1737398,.23815824
2010,3,3,GBW Cod,codGB,1.5850585,1.1737398,.25561795
2010,3,5,GBW Haddock,haddockGB,1.1723849,1.1737398,.29899144
2010,3,6,GB Winter Flounder,winterflounderGB,2.1952083,1.1737398,.33972391
2010,3,7,GB Yellowtail Flounder,yellowtailflounderGB,1.3407965,1.1737398,.21618234
2010,3,8,GOM Cod,codGOM,1.8847826,1.1737398,.32632491
2010,3,9,GOM Haddock,haddockGOM,1.634867,1.1737398,.26893097
2010,3,10,GOM Winter Flounder,winterflounderGOM,2.1347222,1.1737398,.26022437
2010,3,11,Plaice,americanplaiceflounder,1.5644621,1.1737398,.32582757
2010,3,12,Pollock,pollock,.7107712,1.1737398,.33487096
2010,3,13,Redfish,redfish,.6927821,1.1737398,.32553211
2010,3,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.4435383,1.1737398,.32201687
2010,3,15,White Hake,whitehake,1.0035703,1.1737398,.36064515
2010,3,16,Witch Flounder,witchflounder,2.5685434,1.1737398,.30104908
2010,3,17,SNEMA Winter Flounder,,2.0852528,1.1737398,.26652679
2010,4,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.2197592,1.1737398,.23815824
2010,4,3,GBW Cod,codGB,1.9438235,1.1737398,.25561795
2010,4,5,GBW Haddock,haddockGB,.98481137,1.1737398,.29899144
2010,4,6,GB Winter Flounder,winterflounderGB,1.4825805,1.1737398,.33972391
2010,4,7,GB Yellowtail Flounder,yellowtailflounderGB,.85763806,1.1737398,.21618234
2010,4,8,GOM Cod,codGOM,2.1791363,1.1737398,.32632491
2010,4,9,GOM Haddock,haddockGOM,1.6996678,1.1737398,.26893097
2010,4,10,GOM Winter Flounder,winterflounderGOM,1.5904547,1.1737398,.26022437
2010,4,11,Plaice,americanplaiceflounder,1.6374592,1.1737398,.32582757
2010,4,12,Pollock,pollock,.86903101,1.1737398,.33487096
2010,4,13,Redfish,redfish,.63817054,1.1737398,.32553211
2010,4,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.2562249,1.1737398,.32201687
2010,4,15,White Hake,whitehake,.95131987,1.1737398,.36064515
2010,4,16,Witch Flounder,witchflounder,2.0104876,1.1737398,.30104908
2010,4,17,SNEMA Winter Flounder,,1.6260729,1.1737398,.26652679
2011,1,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.0541521,1.1737398,.17605762
2011,1,3,GBW Cod,codGB,1.5372988,1.1737398,.22833528
2011,1,5,GBW Haddock,haddockGB,1.2359865,1.1737398,.37231475
2011,1,6,GB Winter Flounder,winterflounderGB,1.4760051,1.1737398,.33796895
2011,1,7,GB Yellowtail Flounder,yellowtailflounderGB,1.0004494,1.1737398,.20331551
2011,1,8,GOM Cod,codGOM,1.7646648,1.1737398,.33645812
2011,1,9,GOM Haddock,haddockGOM,2.0784957,1.1737398,.26970431
2011,1,10,GOM Winter Flounder,winterflounderGOM,1.5560348,1.1737398,.29954749
2011,1,11,Plaice,americanplaiceflounder,1.2002795,1.1737398,.40091553
2011,1,12,Pollock,pollock,.74697131,1.1737398,.36040622
2011,1,13,Redfish,redfish,.50040781,1.1737398,.34458697
2011,1,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.0445542,1.1737398,.33656511
2011,1,15,White Hake,whitehake,1.0190191,1.1737398,.40379769
2011,1,16,Witch Flounder,witchflounder,1.9582077,1.1737398,.35806873
2011,1,17,SNEMA Winter Flounder,,1.0396352,1.1737398,.31484106
2011,2,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.3120149,1.1737398,.17605762
2011,2,3,GBW Cod,codGB,1.7048863,1.1737398,.22833528
2011,2,5,GBW Haddock,haddockGB,1.7482995,1.1737398,.37231475
2011,2,6,GB Winter Flounder,winterflounderGB,1.9568104,1.1737398,.33796895
2011,2,7,GB Yellowtail Flounder,yellowtailflounderGB,1.3023003,1.1737398,.20331551
2011,2,8,GOM Cod,codGOM,1.9551978,1.1737398,.33645812
2011,2,9,GOM Haddock,haddockGOM,1.8478229,1.1737398,.26970431
2011,2,10,GOM Winter Flounder,winterflounderGOM,1.8568237,1.1737398,.29954749
2011,2,11,Plaice,americanplaiceflounder,1.2930609,1.1737398,.40091553
2011,2,12,Pollock,pollock,.77751613,1.1737398,.36040622
2011,2,13,Redfish,redfish,.6560111,1.1737398,.34458697
2011,2,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.3412105,1.1737398,.33656511
2011,2,15,White Hake,whitehake,.81317782,1.1737398,.40379769
2011,2,16,Witch Flounder,witchflounder,2.052762,1.1737398,.35806873
2011,2,17,SNEMA Winter Flounder,,1.9497291,1.1737398,.31484106
2011,3,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.2960505,1.1737398,.17605762
2011,3,3,GBW Cod,codGB,1.7589768,1.1737398,.22833528
2011,3,5,GBW Haddock,haddockGB,1.773374,1.1737398,.37231475
2011,3,6,GB Winter Flounder,winterflounderGB,1.8940287,1.1737398,.33796895
2011,3,7,GB Yellowtail Flounder,yellowtailflounderGB,1.3552953,1.1737398,.20331551
2011,3,8,GOM Cod,codGOM,1.9133998,1.1737398,.33645812
2011,3,9,GOM Haddock,haddockGOM,2.0925386,1.1737398,.26970431
2011,3,10,GOM Winter Flounder,winterflounderGOM,1.9480699,1.1737398,.29954749
2011,3,11,Plaice,americanplaiceflounder,1.3908805,1.1737398,.40091553
2011,3,12,Pollock,pollock,.6870867,1.1737398,.36040622
2011,3,13,Redfish,redfish,.75313371,1.1737398,.34458697
2011,3,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.4322538,1.1737398,.33656511
2011,3,15,White Hake,whitehake,.7949968,1.1737398,.40379769
2011,3,16,Witch Flounder,witchflounder,1.9550319,1.1737398,.35806873
2011,3,17,SNEMA Winter Flounder,,2.0344861,1.1737398,.31484106
2011,4,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.1682888,1.1737398,.17605762
2011,4,3,GBW Cod,codGB,1.9692892,1.1737398,.22833528
2011,4,5,GBW Haddock,haddockGB,1.3520957,1.1737398,.37231475
2011,4,6,GB Winter Flounder,winterflounderGB,1.9149493,1.1737398,.33796895
2011,4,7,GB Yellowtail Flounder,yellowtailflounderGB,1.0985087,1.1737398,.20331551
2011,4,8,GOM Cod,codGOM,2.1093714,1.1737398,.33645812
2011,4,9,GOM Haddock,haddockGOM,1.8535117,1.1737398,.26970431
2011,4,10,GOM Winter Flounder,winterflounderGOM,1.7035515,1.1737398,.29954749
2011,4,11,Plaice,americanplaiceflounder,1.6148258,1.1737398,.40091553
