	GILLNETS_AmericanLobster		GILLNETS_CodGB		GILLNETS_CodGOM		GILLNETS_HaddockGOM		GILLNETS_Monkfish		GILLNETS_Other		GILLNETS_Pollock		GILLNETS_Skates		GILLNETS_SpinyDogfish		GILLNETS_WhiteHake		GILLNETS_YellowtailFlounderCCGOM		TRAWL_AmericanPlaiceFlounder		TRAWL_CodGB		TRAWL_CodGOM		TRAWL_HaddockGB		TRAWL_HaddockGOM		TRAWL_Monkfish		TRAWL_Other		TRAWL_Pollock		TRAWL_RedSilverOffshoreHake		TRAWL_Redfish		TRAWL_SeaScallop		TRAWL_SquidMackerelButterfishHerring		TRAWL_SummerFlounder		TRAWL_WhiteHake		TRAWL_WinterFlounderGB		TRAWL_WinterFlounderGOM		TRAWL_WitchFlounder		TRAWL_YellowtailFlounderCCGOM		TRAWL_YellowtailFlounderGB		TRAWL_YellowtailFlounderSNEMA	
Number of Crew (Log)	.342476	0.000	.1309177	0.160	.0733893	0.007	.1062015	0.332	.2654544	0.000	.1145968	0.002	.3355409	0.000	.1563073	0.108	.072808	0.027	.1539203	0.000	.4278331	0.000	-.14602	0.000	.0710082	0.004	.0642557	0.008	.5186268	0.000	.3391517	0.000	-.0141628	0.370	.3569965	0.000	.0547223	0.021	.3657037	0.000	.0135627	0.604	.6617109	0.000	.1799401	0.000	-.0982131	0.000	-.1039357	0.000	.3213916	0.000	.068993	0.051	.2323477	0.000	-.0205613	0.541	.1056034	0.222	-.0461352	0.584
Trip Length Days (Log)	.6112232	0.000	.7053632	0.000	.0701355	0.001	.0826001	0.269	.6043416	0.000	.0081807	0.758	.2328546	0.000	.2184517	0.001	.1391778	0.000	.4929212	0.000	.5388308	0.000	.5973967	0.000	.714333	0.000	.2173838	0.000	.3684921	0.000	.5581121	0.000	.673276	0.000	.1349454	0.000	.6788899	0.000	-.0282466	0.214	.5497435	0.000	.4274742	0.000	.3074856	0.000	.2686006	0.000	1.047689	0.000	.7774741	0.000	.4919636	0.000	.5004239	0.000	.625968	0.000	.9858188	0.000	.7747603	0.000
Primary Target	1.128546	0.000	1.541898	0.000	1.521967	0.000	1.87441	0.000	2.311618	0.000	1.9803	0.000	1.73084	0.000	2.409745	0.000	2.104598	0.000	1.461945	0.000	1.917272	0.000	1.420503	0.000	1.711215	0.000	1.91512	0.000	2.293645	0.000	1.84209	0.000	1.590079	0.000	2.491614	0.000	1.969177	0.000	2.645613	0.000	2.588856	0.000	3.17977	0.000	2.637712	0.000	1.325197	0.000	1.239439	0.000	1.794667	0.000	1.168552	0.000	1.603847	0.000	1.704027	0.000	1.865364	0.000	1.544982	0.000
Secondary Target	.4499256	0.000	.6163973	0.000	.6025766	0.000	.7666873	0.000	1.107295	0.000	.6212973	0.000	.8015008	0.000	1.059698	0.000	1.016846	0.000	.7234	0.000	.8789689	0.000	.9252684	0.000	.9260072	0.000	1.011178	0.000	1.277918	0.000	1.073548	0.000	.9034615	0.000	.9378336	0.000	1.307189	0.000	1.12714	0.000	1.684094	0.000	.7653028	0.000	1.102262	0.000	.5345252	0.000	.8235595	0.000	1.016856	0.000	.557487	0.000	.9048966	0.000	.91482	0.000	1.010085	0.000	.8103366	0.000
Trawl Survey Biomass (Log)	.0292682	0.713	-.1338219	0.055	.2564406	0.000	.0284504	0.165	.5602041	0.000			.02075	0.023	-.0788446	0.481	-.0285706	0.191	.2137462	0.000	-.1773653	0.007	.1019698	0.000	-.1908654	0.000	.2480061	0.000	.1470888	0.000	.1767184	0.000	.7083926	0.000			-.0253116	0.000	-.5632902	0.000	-.0433476	0.006			.0316149	0.023	.492686	0.000	-.0327384	0.004	.181691	0.000	-.1957248	0.000	.1020321	0.000	-.1249525	0.000	-.1258966	0.000	.1451719	0.000
Sector ACL (Log)			.0795345	0.036	.1958003	0.000	.0906325	0.000					-.1560829	0.000					-.5610151	0.000	-.0496322	0.348	.066996	0.000	.1160986	0.000	.1285567	0.000	.3275931	0.000	.2872432	0.000					.1855588	0.000			.2721325	0.000							-1.159813	0.000	.2080221	0.000	.0427212	0.033	.1836882	0.000	.0255625	0.219	.5203712	0.000	.2712597	0.000
Month=1	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.
Month=2	-.4624689	0.000	-.2103648	0.166	-.0240513	0.583	-.1794017	0.019	.0430632	0.251	.0177218	0.641	-.2939852	0.000	-.3071821	0.003	.0295074	0.810	.1899018	0.001	.1980422	0.005	-.1232553	0.000	.1149444	0.000	.1389841	0.000	.0011331	0.951	.0230225	0.199	.0332899	0.002	-.1201191	0.000	.0531813	0.000	.3237456	0.000	-.1520964	0.000	.0376445	0.226	-.3444057	0.000	.4028791	0.000	.1202804	0.000	-.2108286	0.004	.1236529	0.003	.0184779	0.125	-.0227823	0.575	-.4337395	0.000	-.189521	0.000
Month=3	-.7353694	0.000	-.2845946	0.010	-.2226763	0.000	-.3054734	0.000	.3728211	0.000	-.2765874	0.000	-.5115207	0.000	-.4130658	0.000	-.0609374	0.769	-.1180123	0.007	.2145714	0.004	-.1545512	0.000	-.0010915	0.937	.2017039	0.000	.0511625	0.003	-.1465808	0.000	-.0162067	0.120	-.2004654	0.000	-.0802926	0.000	.4227798	0.000	-.2013301	0.000	.1527747	0.000	-.5268957	0.000	.4206822	0.000	-.0100257	0.397	.1385545	0.003	.3223705	0.000	-.0007847	0.947	.2546598	0.000	-.2828598	0.000	-.4659357	0.000
Month=4	-.6513095	0.000	-.7721038	0.000	.0233061	0.486	-.090265	0.173	.6846862	0.000	-.3348777	0.000	-.4471773	0.000	-.1940874	0.010	-.3124394	0.027	-.1487714	0.001	.2212051	0.016	-.2306947	0.000	.0684655	0.000	.1828467	0.000	.3196509	0.000	-.2417077	0.000	-.190306	0.000	-.0648717	0.000	-.2228222	0.000	.400758	0.000	-.1809575	0.000	.2645776	0.000	-.4871143	0.000	.2667852	0.000	-.2151721	0.000	.5397468	0.000	.6255913	0.000	-.1338499	0.000	.4871762	0.000	.5461024	0.000	-.2942339	0.000
